iter	MultiClass	F1:class=0	F1:class=1	F1:class=2	F1:class=3	F1:class=4	F1:class=5	F1:class=6	F1:class=7	F1:class=8	F1:class=9	F1:class=10	F1:class=11	F1:class=12
127	1.322474132	0	0.627027027	0.5333333333	0.5348837209	0.1	0.6570397112	0.5581395349	0.6601941748	0.7336683417	0.5271317829	0.7602339181	0.625	0.7413793103
128	1.318296558	0	0.627027027	0.5333333333	0.5348837209	0.1	0.6570397112	0.5581395349	0.6601941748	0.7336683417	0.5271317829	0.7602339181	0.625	0.7413793103
129	1.31409455	0	0.6310160428	0.5243902439	0.5517241379	0.1	0.6618181818	0.5581395349	0.6730769231	0.7336683417	0.5271317829	0.7602339181	0.625	0.7429805616
130	1.310258142	0	0.6344086022	0.5333333333	0.5348837209	0.1904761905	0.6618181818	0.5581395349	0.6730769231	0.7336683417	0.5271317829	0.7602339181	0.625	0.7429805616
131	1.306213023	0	0.6310160428	0.5243902439	0.5517241379	0.1904761905	0.6642335766	0.5581395349	0.6730769231	0.7336683417	0.5271317829	0.7602339181	0.625	0.7429805616
132	1.302512124	0	0.6310160428	0.5243902439	0.5348837209	0.1904761905	0.6618181818	0.5581395349	0.6730769231	0.7336683417	0.5271317829	0.7602339181	0.625	0.7429805616
133	1.298846654	0	0.6310160428	0.5398773006	0.5517241379	0.1904761905	0.6642335766	0.5581395349	0.6730769231	0.7336683417	0.5384615385	0.7602339181	0.625	0.747300216
134	1.294739635	0	0.6310160428	0.5365853659	0.5517241379	0.1904761905	0.6642335766	0.5581395349	0.6730769231	0.74	0.5384615385	0.7602339181	0.625	0.7462039046
135	1.290402728	0	0.6344086022	0.5365853659	0.5517241379	0.1904761905	0.6642335766	0.5581395349	0.6730769231	0.7336683417	0.5496183206	0.76171875	0.6335403727	0.7489177489
136	1.286213446	0	0.6276595745	0.5465838509	0.5517241379	0.1904761905	0.6690909091	0.5581395349	0.6730769231	0.74	0.5606060606	0.7632093933	0.6335403727	0.7548806941
137	1.282381619	0	0.6344086022	0.5487804878	0.5517241379	0.1904761905	0.6715328467	0.5581395349	0.6857142857	0.74	0.5648854962	0.7632093933	0.6419753086	0.752173913
138	1.277522936	0	0.6344086022	0.5521472393	0.5517241379	0.1904761905	0.6764705882	0.5909090909	0.6730769231	0.7272727273	0.5714285714	0.7671232877	0.6419753086	0.7532467532
139	1.273157319	0	0.6310160428	0.5644171779	0.5517241379	0.1904761905	0.6789667897	0.5909090909	0.6796116505	0.74	0.5757575758	0.7671232877	0.6419753086	0.7575757576
140	1.268947878	0	0.6310160428	0.5555555556	0.5517241379	0.1904761905	0.6840148699	0.606741573	0.6730769231	0.7462686567	0.5757575758	0.76953125	0.6419753086	0.7592190889
141	1.265220407	0	0.6310160428	0.5644171779	0.5517241379	0.1904761905	0.6840148699	0.606741573	0.6796116505	0.7462686567	0.5757575758	0.76953125	0.6419753086	0.7592190889
142	1.260454269	0	0.6344086022	0.5644171779	0.5517241379	0.1904761905	0.6840148699	0.606741573	0.6796116505	0.7462686567	0.5757575758	0.76953125	0.6419753086	0.7619047619
143	1.256367204	0	0.6344086022	0.5731707317	0.5517241379	0.1904761905	0.6840148699	0.6222222222	0.6796116505	0.7537688442	0.5909090909	0.7719298246	0.6419753086	0.7635574837
144	1.252636882	0	0.6417112299	0.5731707317	0.5517241379	0.1904761905	0.6891385768	0.6222222222	0.6796116505	0.76	0.5909090909	0.7719298246	0.6419753086	0.7635574837
145	1.248604489	0	0.6344086022	0.5731707317	0.5517241379	0.1904761905	0.6865671642	0.6222222222	0.6796116505	0.76	0.5801526718	0.7743190661	0.6419753086	0.7635574837
146	1.24525178	0	0.6344086022	0.5818181818	0.5517241379	0.1904761905	0.6865671642	0.6222222222	0.6796116505	0.7638190955	0.5909090909	0.7743190661	0.6419753086	0.7652173913
147	1.241964434	0	0.6344086022	0.5818181818	0.5517241379	0.1904761905	0.6917293233	0.6373626374	0.6923076923	0.76	0.5801526718	0.7743190661	0.6419753086	0.7652173913
148	1.237901702	0	0.6382978723	0.5853658537	0.5517241379	0.1904761905	0.6917293233	0.6373626374	0.6923076923	0.7562189055	0.5801526718	0.7719298246	0.6503067485	0.768558952
149	1.233729829	0	0.6451612903	0.5939393939	0.5517241379	0.2727272727	0.6917293233	0.6373626374	0.6923076923	0.77	0.5909090909	0.7743190661	0.6543209877	0.768558952
150	1.230367653	0	0.6486486486	0.6024096386	0.5517241379	0.2727272727	0.6917293233	0.6373626374	0.6923076923	0.7738693467	0.6015037594	0.7743190661	0.6543209877	0.768558952
151	1.226657183	0	0.6524064171	0.5939393939	0.5517241379	0.2727272727	0.6943396226	0.6373626374	0.6923076923	0.7738693467	0.6015037594	0.7743190661	0.6543209877	0.768558952
152	1.223231884	0	0.6559139785	0.6060606061	0.5517241379	0.2727272727	0.6943396226	0.6373626374	0.6990291262	0.7738693467	0.6015037594	0.7766990291	0.6543209877	0.7668845316
153	1.218846516	0	0.6594594595	0.6060606061	0.5681818182	0.2727272727	0.6943396226	0.6373626374	0.6990291262	0.7738693467	0.6015037594	0.7766990291	0.6543209877	0.7668845316
